company,state,postcode,phone,address
Supremacy Wellness Sdn Bhd,Selangor,42100,03-32920441,"sUPREMACY WELLNESS SDN BHD NO.11A, JALAN sUNGAI bATU 8/KU6, KAWASAN PERINDUSTRIAN KLANG UTAMA,"
De Formulated Lab Sdn Bhd,Johor,85400,07-9263462,"No.24 Jalan Keledang, Taman Damai Jaya 2"
JF BEAUTY GROUP SDN. BHD.,W.P. Kuala Lumpur,52100,,"LOT 5B-1 & 5D-1, ANZEN BUSINESS PARK, JALAN 4/37A, KAWASAN INDUSTRI TAMAN MALURI,"
PRIME PHARMACEUTICAL SDN. BHD.,Pulau Pinang,14000,04-5074787,"1505, LORONG PERUSAHAAN UTAMA 1, TAMAN PERINDUSTRIAN BUKIT TENGAH,"
RADIUS WORLDWIDE COSMETIC,Kedah,09100,01151327212,"LOT 4850 KAMPUNG KEBUN UBI, JALAN FELCRA"
CAMBRIDGE BIOTEK SDN BHD,Selangor,47000,0361439338,"No. 2A, Jalan SB Jaya 1, Taman Perindustrian Sungai Buloh Jaya"
VNI SCIENTIFIC SDN BHD,Negeri Sembilan,70450,066751205,"NO 16 & 17, JALAN PP IXORA 3, PUSAT PERNIAGAAN IXORA SENAWANG"
Umze Herb (M) Sdn Bhd,Johor,81800,07-8612351,"No 17, Jalan Tiram 9, Taman Perindustrian Tiram, Jalan Sungai Tiram,"
UMZE HERB (M) SDN BHD,Johor,81800,07-8612351,"17, Jalan Tiram 9, Taman Perindustrian Tiram, Ulu Tiram, Johor"
KIMIPACK MEDICAL INDUSTRIES SDN BHD,Melaka,75250,063371475,"No. 52, Jalan IMJ 2, Taman Industri Malim Jaya, Malim Jaya,"
ZAM-ZAM CHEMICAL WORKS,Selangor,68100,07-2371367,"NO. 31, JALAN SBC 7, TAMAN SRI BATU CAVES"
WAYCO MANUFACTURING (M) SDN. BHD.,Johor,81100,07-3355288,"11, JALAN DEWANI 3  KAWASAN PERINDUSTRIAN DEWANI"
Q & Z COSMETICS MANUFACTURING SDN BHD,Selangor,47150,+60,"1, JALAN PPU1A, TAMAN PERINDUSTRIAN PUCHONG UTAMA"
MM COSMETIC SDN. BHD.,Johor,81800,019-5252666,"NO. 4, JALAN PERSIARAN MAJU CEMERLANG, TAMAN PERINDUSTRIAN MAJU CEMERLANG,"
XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.,Melaka,75250,06-3351515,"1-5,  CHENG INDUSTRIAL ESTATE,"
OWI LAB (M) SDN. BHD.,Selangor,42000,0331627335,"33 & 35, JALAN SELAT SELATAN 7/KS5 TAMAN PERINDUSTRIAN SOBENA JAYA"
TRUE DERMA LAB SDN. BHD.,W.P. Kuala Lumpur,52100,0362625028,"644, Jalan 24, Taman Perindustrian Ehsan,"
J.E. SKINCARE & COSMETICS SDN BHD,Johor,79200,07-5090966,"NO. 4, JALAN MEGA 1/5, TAMAN PERINDUSTRIAN NUSA CEMERLANG,"
DCH CONTRACT MANUFACTURING SDN. BHD.,Selangor,40300,0355416600,"LOT 6, PERSIARAN PERUSAHAAN SEKSYEN 23,"
F.A. HERBS SDN.BHD.,Selangor,45620,0332791935,"NO. 3, JALAN BUKIT BADONG 1, TAMAN INDUSTRI BUKIT BADONG,"
TROPICA BEAUTY SDN. BHD.,Selangor,68100,03-61280040,"52 & 53, JALAN INDAH 10E, TAMAN PERINDUSTRIAN SELAYANG INDAH,"
EDMARK INDUSTRIES SDN BHD,Selangor,47180,0380752233,"NO.20, JALAN BK 1/13, KINRARA INDUSTRIAL PARK,"
Giovan Resources Sdn Bhd,W.P. Kuala Lumpur,52200,60362778776,"284, Jalan KIP 3, Taman Perindustrian KIP, Sri Damansara Kepong,"
BIO LAB COSMETICS SDN BHD,Selangor,43300,0163322616,"NO.64, JALAN TAMING 6, TAMAN TAMING JAYA,"
ETHNOMATE SDN. BHD.,Kedah,08000,044422322,"No 77, 78 & 79, JALAN SEROJA 1/2, PERSIARAN AMAN JAYA 2,"
GENPHARMA SDN. BHD,Selangor,41050,03-33931978,Lot 5979 Jalan Teratai 5 1/2 Mile off Jalan Meru
MOI FOODS MALAYSIA SDN BHD,Selangor,42920,+603 3169 3419,"LOT 40 SECTION 4, FASA 2A PULAU INDAH INDUSTRIAL PARK JALAN SUNGAI PINANG 5/1, PULAU INDAH"
Earth-Nature Biotech Sdn. Bhd.,Selangor,43300,0389615013,"No 10 Jalan Taming P/1, Taman Taming Jaya"
EVYAP SABUN MALAYSIA SDN BHD,Johor,81700,6072527000,"PLO 70, JALAN NIBONG 4, TANJUNG LANGSAT INDUSTRIAL COMPLEX,"
OON NATURAL ENTERPRISE SDN BHD,Pulau Pinang,11600,0164650198,"310-3-4, SUPERFIELD PLAZA PERAK ROAD"
ZY PHYTO TECH INDUSTRIES SDN BHD,Selangor,42300,0360388898,"10 A, LOT 122B, JALAN TIAJ 2/9 TAMAN INDUSTRI ALAM JAYA"
MACSAM SDN. BHD.,Selangor,47100,603-80686213,"A-2-14 & 15, KOMPLEKS INDUSTRI PUCHONG, JALAN TPP 1/6, SEKSYEN 1,  TAMAN INDUSTRI PUCHONG,"
AMLION TOOTHPASTE MFG. SDN. BHD.,Selangor,47810,0361569818,"LOT 4, GATE A, JALAN TEKNOLOGI 3/6, SEKSYEN 3, TAMAN SAINS SELANGOR, KOTA DAMANSARA"
GOLDMAN COSMETICS MANUFACTURER,Perak,31450,60125255699,"NO 11, DATARAN KLEDANG 5, TAMAN PERINDUSTRIAN CHANDAN RAYA MENGLEMBU"
BIOPRO CONSORTIUM SDN BHD,Johor,81300,0137782001,"Blok 2, UTM-MTDC Technology Centre, Technovation Park, Universiti Teknologi Malaysia"
MICHELLE LAZAR INTERNATIONAL SDN BHD,Johor,81100,607-3525235,"NO. 2, JALAN EKOPERNIAGAAN 1/27 TAMAN EKOPERNIAGAAN"
Uhb Products Sdn.bhd,Johor,81750,03-41443318,"No.36, jalan sri plentong 3, taman perindustrian sri plentong"
Unico Cosmeceutical Industries,Johor,81750,073863881,"No 25, Jalan Permas 9/12 Taman Perindustrian Permas Jaya"
TCT NUTRACEUTICALS SDN BHD,Selangor,47130,0383228683,"NO. 13 JALAN PP11/3 ALAM PERDANA INDUSTRIAL PARK, TAMAN PUTRA PERDANA"
DXN INDUSTRIES (M) SDN. BHD.,Kedah,06000,04-9161288 / 04-9162688,KAMPUNG PADANG PANJANG JALAN BUKIT WANG MALAU
FAR GO INDUSTRIES SDN. BHD.,Selangor,40150,03-78036619 / 03-78876619,"Lot 10, JALAN UTARID U5/26, MUTIARA SUBANG, SEKSYEN U5"
SYARIKAT LONG AUN SDN. BHD.,Pulau Pinang,13400,04-3130898,"4543, JALAN PERMATANG PAUH"
CAMMER INDUSTRIES SDN BHD,Perak,31350,05-3125311,"NO. 20 , HALA RAPAT BARU 22 , KAWASAN PERINDUSTRIAN RINGAN KINTA JAYA ,"
ADA COSMETICS INTERNATIONAL SDN. BHD.,Selangor,42000,0331676989,"KILANG B, LOT 87133 & 130428, JALAN CANANG EMAS 8/KS10, TELOK GONG,"
ENSU LIFESCIENCES SDN. BHD.,Selangor,48200,01112202996,"NO. 12, JALAN VELOX 2, TAMAN VELOX,"
PERFECT AND GRAVITY INVENT SDN.BHD.,Pulau Pinang,14300,0139347856,"NO.11, LORONG INDUSTRI 11, KAWASAN INDUSTRI BUKIT PANCHOR"
Mega Mass K Networks Sdn Bhd,Selangor,41050,0338851490,"NO.21, JALAN ASTANA 1C/KU2, BANDAR BUKIT RAJA"
BSX PENANG SDN.BHD.,Pulau Pinang,11900,04-6420577,"NO 6, LEBUHRAYA KAMPUNG JAWA, TAMAN PERINDUSTRIAN"
UMZ BIOLINE MANUFACTURER SDN BHD,Johor,81800,078633950,"NO.17 JALAN TIRAM 9, TAMAN PERINDUSTRIAN TIRAM"
E N RESEARCH SDN BHD,W.P. Kuala Lumpur,51100,0125199189,"NO. 12, JALAN BALAM, TAMAN MILION JALAN IPOH"
NMY MANUFACTURING SDN BHD,Selangor,45300,0332241040,"No. 6, 10 & 21A, Jalan PPSL 2, Pusat Perniagaan Sungai Lias,"
ASTANA BIOCARE SDN BHD,Pulau Pinang,14300,04-5942214,"NO.11A, 15, 17 JALAN PERINDUSTRIAN NIBONG TEBAL 1 TAMAN PERINDUSTRIAN NIBONG TEBAL"
Kosmetik Alwan Sdn. Bhd.,Selangor,41200,03-31226365,"NO. 7, JALAN PERMATA 9/KS09, TAMAN PERINDUSTRIAN AIR HITAM, KM 11, JALAN KLANG BANTING,"
WIPRO MANUFACTURING SERVICES SDN. BHD.,Selangor,47610,0356315588,"NO. 7 & 8, PERSIARAN SUBANG PERMAI TAMAN PERINDUSTRIAN SUBANG"
QS COSMECEUTICAL ENTERPRISE,Johor,84000,0173721008,"48-22 GROUND FLOOR, JALAN SAKEH BARU, TAMAN SAKEH,"
IFFCO (MALAYSIA) SDN BHD,Johor,81700,072543188,"PLO 406 & 237 JALAN EMAS,  KAWASAN PERINDUSTRIAN PASIR GUDANG"
IFFCO (MALAYSIA) SDN BHD,Johor,81700,072543188,PLO 406 & 237 JALAN EMAS
FREEMAN INDUSTRIES SDN BHD,Pulau Pinang,13700,043900822,"16 &18, JALAN KELISA EMAS, TAMAN KELISA EMAS, PRAI"
THE MITOMASA SDN. BHD.,Selangor,68000,0342880198/ 0342709501,"No 13-1 & 15-1, Jalan LJ 3, Taman industri lembah jaya"
KOSMETIK WANGI SDN. BHD.,Johor,86000,0122879468,"23, JALAN INTAN 2/1, TAMAN INTAN"
SARI TANI DESA SDN. BHD.,Selangor,40150,03-7847 5855,"NO. 21, JALAN APOLLO U5/188, BANDAR PINGGIRAN SUBANG,  SEKSYEN U5,"
G-ANCORA SDN. BHD.,Selangor,47500,01111440549,"No.8, BLOCK D LOT 757, JALAN SUBANG 3, USJ 1,"
SPARKE LABS SDN. BHD.,Selangor,47301,0374971614,"No.17, Jalan SS 25/41, Taman Mayang,"
HAIR ASIAN COSMETIC SDN.BHD,Pulau Pinang,10300,042266088,107-3-5&6 KOMPLEKS ADORNA GOLD JALAN GURDWARA
SOUTHERN EDIBLE OIL IND (M) SDN. BHD.,Selangor,42200,03-32508877,"10TH MILE, JALAN KAPAR"
SANSBEAU COSMETICS SDN.BHD.,Pulau Pinang,14000,0137536878,"76, JALAN PERDA UTAMA, BANDAR PERDA"
VEE-MAN MANUFACTURER SDN BHD,Selangor,47500,03-56129999,"NO. 35, JALAN PJS 11/22,  BANDAR SUNWAY,"
ELEMENSIVE MANUFACTURE ENTERPRISE,Selangor,43000,0387377907,"NO. 32, JALAN SC 5/B, PUSAT PERINDUSTRIAN SG.CHUA"
INFINITE OPPORTUNITIES SDN BHD,Selangor,40170,0192494506,no 24-1f & 24-3f seria 88 business centre jalan setia perdana be u13/be seksyen u13 setia alam 40170 shah alam selangor
PE COSMECEUTICAL SDN. BHD.,Pulau Pinang,11900,042553119,"3C, JALAN PERMATANG DAMAR LAUT"
Orifera Manufacturing Sdn Bhd,Selangor,47301,0163430016,"No 34, jalan pju 1a/14, taman perindustrian jaya"
MIZINO BIOCARE SDN BHD,Selangor,43300,0389644311,"NO.84, JALAN TAMING 7, TAMING JAYA INDUSTRIAL PARK,"
Sophia Taha Holdings Sdn Bhd,Sarawak,93764,0108694999,"LOT 802, TAMAN PERINDUSTRIAN DEMAK LAUT, JALAN BAKO JALAN BAKO,"
EWO INDUSTRIES (M) SDN BHD,Perak,31500,053216237,"No 4 Persiaran Perindustrian Pengkalan 37, Kawasan Perindustrian Pengkalan"
Kim River Research Sdn Bhd,Pulau Pinang,14110,0124564128,"77, Jalan Cassia Selatan 3/3 Taman Perindustrian Batu Kawan Bandar Cassia"
NAD SKINCARE LABORATORY,Terengganu,22000,0192708665,LOT 5763 WANZA CENTRE POINT BELAKANG TELEKOM JERTEH
DPND BEAUTY RESOURCES SDN BHD,Selangor,43300,0395479321,"3, JALAN BALAKONG JAYA 4, TAMAN PERINDUSTRI BALAKONG JAYA"
NALURI MEKAR BIOTECH SDN BHD,Selangor,40675,0358918769,"1G, BLOK 4, WORLDWIDE BUSINESS CENTRE JALAN TINJU 13/50"
YOKNESS SDN. BHD.,Johor,81800,0137788691,"14, JALAN TIRAM 3, TAMAN PERINDUSTRIAN TIRAM,"
LOVING HANDS MARKETING,Selangor,47600,0126697898,"No. 27 Jalan Industri USJ 1/5,  Taman Perindustrian USJ 1,  UEP"
MAXGOLDEN RESOURCES SDN. BHD.,Pulau Pinang,13800,04-3566736,"39, LORONG SUNGAI LOKAN 3/2, PERINDUSTRIAN SUNGAI LOKAN, SUNGAI DUA"
SIDRATUL CORPORATION SDN. BHD,Perak,33010,057731667,"NO 12, JALAN INDUSTRI 1, TAMAN PERINDUSTRIAN IKS MIEL,"
Halagel Plant (M) Sdn. Bhd.,Kedah,08000,04-4481288,"A137, Jalan 2b, kawasan perusahaan miel sg. lalang"
LA PUREZA SDN. BHD.,Melaka,75250,0166643393,"NO. 5 & 7, LORONG 1, JALAN SP2, TAMAN SERI PANDAN, 75250 MELAKA"
G.B.M. INDUSTRIES SENDIRIAN BERHAD,Kedah,05150,04-7351268,"117, Jalan Kristal 8, Taman Perindustrian Ringan Kristal"
AQUAMATIC PACKING,Johor,84900,0173992807,23 JALAN INDUSTRI 3 TAMAN PERINDUSTRI TIARA TANGKAK
KEN-RICH CHEMICAL PRODUCTION SDN. BHD.,Selangor,40150,03-78456112,"LOT 12, JALAN UTARID U5/26 SEKSYEN U5"
Innoscience Manufacturing Sdn. Bhd.,Selangor,43650,0166616048,"NO 29 & 31, JALAN P10/21, SEKSYEN 10, TAMAN INDUSTRI SELAMAN, BANDAR BARU BANGI"
ADIMIS HEALTH TRADING SDN BHD,Selangor,43000,,no 12a JALAN VILLA 3 ANGGERIK VILLA
Bio Harvest Sdn. Bhd.,Selangor,48000,+60122002416,"LOT 28, JALAN RP2 RAWANG INDUSTRIAL ESTATE,"
DERMAJASS SDN BHD,Pulau Pinang,14000,0174817346,"22, Lorong Industri Impian 1, TAMAN INDUSTRI IMPIAN, 14000 Bukit Mertajam"
ORB COSMEX SDN BHD,Selangor,47120,0380669726,"No.3, Jalan MJ 16 Taman industri meranti jaya"
Syarikat Minyak Afiat Sdn Bhd,Perak,33000,057764677,"Lot 4184, Batu 30, Jln. Ipoh"
MOSFAC SDN BHD,W.P. Kuala Lumpur,52200,03-62629333,"No 48, Jalan KIP 9, Taman Perindustrian KIP,"
F.A. HERBS SDN.BHD.,Selangor,45620,03-32791935,"NO. 41, JALAN BUKIT BADONG 1, TAMAN INDUSTRI BUKIT BADONG,"
KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,604-6430766,"PLOT 61, LINTANG BAYAN LEPAS 1, BAYAN LEPAS INDUSTRIAL PARK, PHASE IV,"
Hana Medic Sdn Bhd,Negeri Sembilan,71800,06-7942018,"no 3, jalan nilam 3/1 kawasan perindustrian nilai utama"
Beaubiz Cosmetic Sdn. Bhd.,Selangor,48020,0172896782,"No86 , Jalan KPK 1/7, Kawasan Perindustrian Kundang, Kundang Jaya"
JUARA AGARWOOD RESOURCES SDN BHD,Negeri Sembilan,70300,066017810,nO 75 jALAN S2C2 GREEN TECHNOLOGY PARK 70300 SEREMBAN NEGERI SEMBILAN MALAYSIA
ALLY BAY NATURAL BEAUTY & HEALTH,Pulau Pinang,10470,042976881,"C-3-1, VANTAGE DESIRAN TANJUNG, JALAN TANJUNG TOKONG,"
NOVA LABORATORIES SDN. BHD.,Selangor,43950,603-3141 3181,"LOT 708, NOVA AVENUE BATU 4"
IONIC GLOBAL SDN. BHD.,Pulau Pinang,13600,045054231,"NO.2A, LORONG PERUSAHAAN MAJU 13, TAMAN PERUSAHAAN PELANGI,"
MYT COSMETICS MANUFACTURING SDN. BHD.,Selangor,43500,0196117186,"No.5, Jalan 6/11, Kawasan Perindustrian Bandar Rinching,"
COSCOLAB SDN. BHD.,Selangor,43300,012-2681608,"Coscolab sdn bhd no.10, jalan 5/3, taman industri selesa jaya"
UNION PROFIT COSMETIC MANUFACTURING SDN BHD,Johor,81100,075952750,"NO. 15, JALAN EKOPERNIAGAAN 1/8, TAMAN EKOPERNIAGAAN"
BIOASIA WORLDWIDE SDN. BHD.,Perak,32000,03-78463820,"U-11, LUMUT PORT INDUSTRIAL PARK, MUKIM LUMUT"
ATSON SCIENCE SDN BHD,Pulau Pinang,14000,045378268,"14, LORONG PERDA UTAMA 8, Bandar PERDA"
Tricholab (m) Sdn Bhd,W.P. Kuala Lumpur,52100,03-62735953,"No. 22a, Jalan Eip 3, Taman Ehsan Industrial Park,"
ELITE ADVANCED MATERIALS SDN. BHD.,Selangor,48020,03-60343766,"1, JALAN KPK 1/2, KAWASAN PERINDUSTRIAN KUNDANG, KUNDANG JAYA,"
INTAN BIOTECH INDUSTRIES SDN BHD,Kelantan,16100,01157623552,"BT 18, KAWASAN PERINDUSTRIAN KIK MARA FASA II, JALAN PADANG TEMBAK PENGKALAN CHEPA,"
DZ SMART LAB SDN.BHD.,Kedah,06000,049164549,NO.12 IKS KEDA NAPOH
TG HEALTHCARE SDN. BHD.,Selangor,41050,0333623098,"Blok B2, LOT 5002 JALAN MERU BATU 5 1/2"
SCENT PUR MANUFACTURING (M) SDN. BHD.,Selangor,48000,+60367333282,"NO. 33A, JALAN STR 2 SAUJANA TEKNOLOGI RAWANG"
MCBRIDE MALAYSIA SDN. BHD.,Selangor,42200,603-33962000,"2, Jalan Bestari, 1/KU7, Taman Perindustrian Kapar Bestari,"
BIO TAJMEEL COSMECEUTICAL SDN BHD,Kelantan,18500,09-9752496,"lot 956, jalan banggol cantik batu 23"
TEVO Creations Sdn Bhd,Pulau Pinang,14100,â€Ž+60 4-502 2842,"No.2, LoroNG BERINGIN 1, TAMAN PERINDUSTRIAN BERINGIN JURU"
NOZOMI MANUFACTURING SDN. BHD.,Selangor,48200,+6012-6638481,"No. 1 & 3, Jalan Kesidang 1 Kawasan Perindustrian Sungai Choh"
WITCOLINE MANUFACTURING SDN. BHD.,Perak,31200,0124261268,"LOT 376226, PERSIARAN PERINDUSTRIAN KANTHAN 7, KAWASAN PERINDUSTRIAN KANTHAN,"
CENTRAC SDN. BHD.,W.P. Kuala Lumpur,56100,03-42914088 / 42916088,"NO. 8 & 10, JALAN KENCANA 20, TAMAN KENCANA,"
M&K COSMETICS MANUFACTURING SDN. BHD.,Selangor,47100,03-80660425,"57, JALAN UTAMA 1/1, TAMAN PERINDUSTRIAN PUCHONG UTAMA,"
TRUELIFE LABORATORIES SDN. BHD.,Selangor,43500,0387232188,"No.25, Jalan P2/4, Bandar Teknologi Kajang, 43500 Semenyih, Selangor, Malaysia"
JM Naturals Sdn Bhd,Selangor,40150,0355698995,"no 11, jalan kartunis u1/47 temasya industrial park, glenmarie"
ESTHETIC MANUFACTURING SDN. BHD.,Negeri Sembilan,70450,0176522659,"NO.16, PERSIARAN SINAR ANDALAS 2, KAWASAN SINAR ANDALAS,"
THE DIVINESHI INTERNATIONAL MANUFACTURING BERHAD,Selangor,40400,0146245555,"NO. A12B, GROUND FLOOR & 1ST FLOOR BLOCK A, CENTREPOINT BUSINESS PARK NO 5, JALAN TANJUNG KERAMAT 26/35, SEK 26"
DPND BEAUTY RESOURCES SDN BHD,Selangor,43300,0183144003,8 JALAN BALAKONG JAYA 6 TAMAN INDUSTRI BALAKONG JAYA BALAKONG
AZTIE RESOURCES SDN BHD,Kedah,08000,044412050,"LOT I-03, KEDAH HALAL PARK FASA 2, KAWASAN PERINDUSTRIAN SG PETANI"
ERC MANUFACTURING SDN. BHD.,Terengganu,21080,096173396,LOT 2081-K KAWASAN PERINDUSTRIAN CHENDERING
BIOPRO CONSORTIUM SDN BHD,W.P. Kuala Lumpur,53300,0137782001,"NO 1, JALAN SERI REJANG 1, TAMAN SRI RAMPAI,"
VIGILENZ MEDICAL DEVICES SDN. BHD.,Pulau Pinang,14100,045054241,"308B, JALAN PERINDUSTRIAN BUKIT MINYAK 18, PENANG SCIENCE PARK,"
VI PROLABS SOLUTION SDN. BHD.,Perak,31560,053662662,"NO 23, LALUAN INDUSTRI 6 KAWASAN PERINDUSTRIAN RINGAN SIPUTEH"
A TASK SDN. BHD.,Pulau Pinang,13600,0164393798,"17 lorong nagasari 22, taman nagasari"
NCS COSKIN SDN BHD,Selangor,47120,0380686278,"NO.13, JALAN IMP 1/1, PUSAT TEKNOLOGI SINAR MERANTI, TAMAN INDUSTRI MERANTI PERDANA,"
SAFETYWARE SDN. BHD.,Pulau Pinang,14100,0174044271,"42 & 44, Lorong Usahajaya 1, Taman Perindustrian Tinggi, 14100 Simpang Ampat Pulau Pinang, Malaysia."
MUSTAJAB DUNIAHERBS SDN. BHD.,Selangor,68100,0177958087,"LOT 43,45 & 47, JALAN SBC 8 KOMPLEKS KILANG SME BANK, TAMAN SRI BATU CAVES"
DR ORIZI (M) SDN. BHD.,Perak,31500,"019-4731941,","No. 29 Persiaran Perindustrian Pengkalan 14, Kawasan Perindustrian Pengkalan"
T-Biomax Sdn. Bhd.,Selangor,47600,0380247101,"NO. 51, JALAN USJ 1/31"
NORCY BEAUTYLAB SDN. BHD.,Sabah,89058,0128541981,"BLOK B, PUSAT KEUSAHAWANAN DESA MATUNGGONG JALAN MATUNGGONG JAYA"
CRIGEN ACCOR LIFE SCIENCE SDN. BHD.,Pulau Pinang,14000,045489546,"NO. 66, JALAN PERDA UTAMA, BANDAR PERDA,"
MOHA BIOTECH MANUFACTURING SDN BHD,Johor,81000,07-6605121,132 JALAN LAGENDA 9 TAMAN PERINDUSTRIAN LAGENDA
MSH MANUFACTURING SDN. BHD.,Kedah,05150,047306947,"NO. 242 243, TAMAN BANDAR BARU MERGONG, LEBUHRAYA SULTANAH BAHIYAH"
Dermascience Sdn Bhd,Selangor,43000,0387418182,"NO. 31, JALAN ASTA UTAMA KAWASAN PERINDUSTRIAN ASTA"
Eryca Life Science Sdn Bhd,Pulau Pinang,14000,045041795,"NO.11, LORONG IKS JURU 5 TAMAN PERINDUSTRIAN RINGAN JURU"
angelfun manufacturer (m) sdn bhd,Selangor,48200,0390173553,"NO 21, JALAN KESIDANG 2 , RCI PARK ,48200 SERENDAH , SELANGOR."
CLOX Trading,Selangor,42100,0332918888,"LOT 42, JALAN PENGASAH 2, OFF JALAN KAPAR BATU 3 3/4,"
INFINITE OPPORTUNITIES SDN BHD,Selangor,41050,0192494506,LOT 4995 BATU 5 1/2 KAWASAN PERINDUSTRIAN MERU JALAN MERU
SOAPWORKS PLT,Selangor,47600,0126723817,"16, Jalan Industri USJ 1/11, Taman Perindustrian USJ 1"
KIMIPACK MEDICAL INDUSTRIES SDN BHD,Melaka,75250,063371475,"NO. 52, JALAN IMJ 2  TAMAN INDUSTRI MALIM JAYA"
RASSALAB GLOBAL SDN. BHD.,Selangor,42200,0124967083,"No. 11, Jalan Bestari 3A/KU7  Taman Perindustrian Kapar Bestari, Kapar"
DYNAMIC IDEAL GLOBAL SDN. BHD.,Selangor,43500,0122907102,"NO. 11, JALAN BESI 1/1, KAWASAN PERINDUSTRIAN SG. PURUN,"
KEN-RICH CORPORATION SDN. BHD.,Selangor,40200,0355116113,"LOT 3, JALAN HALBA 16/16, SEKSYEN 16,"
ZAM ZAM CHEMICAL WORKS SDN. BHD.,W.P. Kuala Lumpur,52100,0326982842,7 JALAN HELANG BELALANG TAMAN PERUSAHAAN KEPONG BARU
The Element Sdn Bhd,Kedah,07000,012-408 2773 / 04-969 8804,NO 7 LOT 001806 TINGKAT FASA 1 JALAN KISAP MUKIM KUAH
SHAIROS INDUSTRIES SDN. BHD.,Selangor,68100,0361784933,"19, LORONG PERUSAHAAN RINGAN 1 PRIMA SRI GOMBAK"
Rustic Borneo Craft Enterprise,Sabah,88450,+60168787147,"NO. G-G-06, LOT 151, BLOCK G, GROUND FLOOR, LORONG INANAM KAPITAL 5, INANAM KAPITAL, JALAN NOUNTUN, INANAM"
WONWAY MANUFACTURING SDN BHD,Selangor,42100,0332918888,"no. 42, JALAN PENGASAH 2, off jalan kapar batu 3 3/4"
FR Qaseh Marketing Sdn Bhd,Kedah,08000,017-4600989,"LOT I-04, KEDAH HALAL PARK, LOT 5 , KAWASAN PERINDUSTRIAN SUNGAI PETANI , MUKIM SUNGAI PETANI"
AZONA SKIN SCIENCE SDN. BHD.,Pulau Pinang,14000,0125083058,"NO. 62, JALAN IKS BUKIT TENGAH TAMAN IKS BUKIT TENGAH"
ENSU LIFESCIENCES SDN. BHD.,Selangor,48100,01112202996,NO 47 JALAN KP3 KAWASAN PERINDUSTRIAN KOTA PUTERI
NARQES BEAUTY MALAYSIA SDN BHD,Selangor,40150,016-7005092,"11-G, SUNWAY SUBANG BUSINESS PARK jalan delta u6/18 SEKSYEN U6"
GI TECH NANO SOLUTION SDN BHD,Selangor,43650,03-8925 0733,"NO. 31, JALAN PERINDUSTRIAN SUNTRACK HUB PERINDUSTRIAN SUNTRACK, OFF JALAN P1/A SEKSYEN 13"
ILAJ BioCosmetic SDN BHD,Selangor,42600,0182282575,"NO. 18 & 20, JALAN HASTA 1 KAWASAN PERUSAHAAN BATU 12, SUNGAI RAMBAI"
FULIJAYA MANUFACTURING SDN. BHD.,Kedah,09000,04-4843024,"30, LORONG MAKMUR 13/1  TAMAN MAKMUR INDUSTRIAL ESTATE"
LZ INDUSTRY SDN. BHD,Sabah,89058,088612913,"Lot No. 7, Pusat Keusahawanan / Industri Desa, Peti Surat 315,"
Finelab Cosmeceuticals Sdn. Bhd.,Selangor,47160,011-2376 5966,"No.1, Jalan TPP 5/16 Taman Perindustrian Puchong Seksyen 5"
GENPRO PHARMA SDN. BHD.,Selangor,47100,0380600335,"No.15, Jalan TPP 5/17, Seksyen 5, Taman Perindustrian Puchong"
RED TREE OIL,Kedah,09600,0164455204,"70, JALAN SAUJANA 3, TAMAN INDUSTRI SAUJANA & SAUJANA INDAH"
AESTECH PRO SDN BHD,Johor,84000,0167418450,"No. 3 Jalan Perindustrian, Taman Perindustrian Parit Bakar, Jalan Parit"
ISD MEDITECH SDN BHD,Selangor,46000,018-3669093,No.3 Jalan PJS 3/2 Taman Medan
Zelcos Laboratory Sdn Bhd,Pulau Pinang,14100,04-3989013,"NO. 864, LORONG IKS JURU 6 TAMAN INDUSTRI RINGAN JURU"
AYU JAYAMAS INDUSTRI SDN. BHD.,Negeri Sembilan,73000,0333624563,"PT 1856 & 1857, KAWASAN INDUSTRI REPAH"
SFJ MANUFACTURING SDN. BHD.,Sabah,91000,0149137632,"LOT C18, LORONG INDUSTRIAL MEGAH 5, MEGAH INDUSTRIAL PARK, JALAN TIKU"
JNTL (MALAYSIA) SDN. BHD.,Selangor,46050,0123122272,"Lot 3 & 5 Jalan Tandang,"
WERYX MANUFACTURING SDN. BHD.,Terengganu,21300,0165558079,"PT 33848, Tingkat G-1, Dataran Tembesu, Wakaf Tembesu,"
AMERSEAL INDUSTRIAL SDN. BHD.,Pahang,25000,095721063,"No. 43 & 45, Ground and First Floor, Jalan IM 3/2,"
KLEENSO INDUSTRIES SDN. BHD.,Selangor,47600,03-80231668,"NO.44 , JALAN INDUSTRI USJ1/13 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA"
KIJANG MERAH SDN. BHD.,Kelantan,16100,097732220,"S/44, LOT 3352-B, KILANG HALAL HUB, KAWASAN PERINDUSTRIAN PENGKALAN CHEPA II"
NATURAL MAKER LAB,Selangor,47630,0175538793,"27, JALAN USJ 19/2, usj19"
eaglex sdn bhd,Selangor,47100,0380519047,"10 JALAN IMP 1/3, PUSAT TEKNOLOGI SINAR MERANTI, TAMAN INDUSTRI MERANTI PERDANA,"
